id;name;asciiName;alternateNames;featureClass;featureCode;countryCode;countryNameEN;countryCode2;admin1Code;admin2Code;admin3Code;admin4Code;population;elevation;digitalElevationModel;timezone;modificationDate;labelEN;coordinates
293397;Tel Aviv;Tel Aviv;Lungsod ng Tel Aviv-Yafo,TLV,Tehl'-Aviu,Tel Avevs,Tel Aviv,Tel Aviv Yaffo,Tel Aviv Yafo,Tel Aviv-Jaffa,Tel Aviv-Jafo,Tel Aviv-Yafo,Tel Avivas,Tel Avív,Tel Avėvs,Tel Awiw,Tel Eviv,Tel'-Aviv,Tel-Aviv,Tel-Avivo,Tel-aviv,Tel-Əviv,Telaviva,Telavivum,Tell Abib,Tell Abīb,Tell Afif,te la wei fu,tel aviv,tel-abibeu,tel-avivi,tela abhibha,tela abhiva,tela aviva,tela'abiba,tel־ʼabiyb-yapwo,teruabibu,thel xa wif,tl abyb,tl abyb yafa,tl alrbyʿ,tl avyv,tl awyw,tl awyw yafw,tl ʼbyb,tlawyw,tl‌awyw,tl‌awyw yafw,tێl yەvyv,Τελ Αβίβ,Тел Авив,Тел-Авив,Тель-Авив,Тель-Авів,Тэль-Авіў,Թել Ավիվ,תֵּל־אָבִיב–יָפוֹ,תל אביב,תל אביב-יפו,تل آویو,تل آویو یافو,تل آڤیڤ,تل أبيب,تل أبيب يافا,تل ابيب,تل ابیب,تل الربيع,تل اویو,تل اویو یافو,تلاویو,تل‌آویو,تل‌آویو یافو,تل‌اویو,تل‌اویو یافو,تێل ئەڤیڤ,تېلاۋىف,ܬܠ ܐܒܝܒ,तेल अभिव,तेल अविव,तेल अवीव,তেল আভিভ,তেলআবিব,டெல் அவீவ்,ടെൽ അവീവ്,เทลอาวีฟ,თელ-ავივი,ቴል አቪቭ,テルアビブ,特拉維夫,特拉维夫,텔아비브;P;PPLA;IL;Israel;;05;;;;432892;;15;Asia/Jerusalem;2022-03-09;Israel;32.08088,34.78057
2650225;Edinburgh;Edinburgh;Aebura,Caeredin,Dinedin,Doon Edin,Dun Eideann,Dùn Èideann,Dún Éideann,EDI,Ebora,Edimborg,Edimborgh,Edimbourg,Edimbourgo,Edimburg,Edimburgh,Edimburgo,Edimburgo - Dun Eideann,Edimburgo - Dùn Èideann,Edimburgu,Edimburgum,Edimbùrgh,Edinbo,Edinboarch,Edinborg,Edinburc,Edinburg,Edinburga,Edinburgas,Edinburgh,Edinburgo,Edinburq,Edinburrie,Edynburg,Ehdinburg,Ehdynburg,Embra,Idinburg,adnbrt,adynbrw,ai ding bao,edeunbeoleo,edinabara,edinbara,edinburgi,etinparo,xedinbara,Édimbourg,Εδιμβούργο,Единбург,Эдинбург,Эдынбург,Էդինբուրգ,אדינבורו,עדינבורג,إدنبرة,ئێدینبەرە,ادینبرو,ایڈنبرا,एडिनबरा,एदिनबरा,এডিনবরা,எடின்பரோ,ಎಡಿನ್‌ಬರ್ಗ್‌‌,എഡിൻബറോ,เอดินบะระ,အက်ဒင်ဗာရာမြို့,ედინბურგი,エディンバラ,爱丁堡,에든버러;P;PPLA;GB;United Kingdom;;SCT;U8;;;506520;;66;Europe/London;2022-08-15;United Kingdom;55.95206,-3.19648
2950159;Berlin;Berlin;BER,Beirlin,Beirlín,Belin,Berleno,Berlien,Berliin,Berliini,Berlijn,Berlim,Berlin,Berline,Berlini,Berlino,Berlyn,Berlynas,Berlëno,Berlín,Berlîn,Berlīne,Berolino,Berolinum,Birlinu,Bèrlîn,Estat de Berlin,Estat de Berlín,bai lin,barlina,beleullin,berlini,berurin,bexrlin,brlyn,perlin,Βερολίνο,Берлин,Берлін,Бэрлін,Բերլին,בערלין,ברלין,برلين,برلین,بېرلىن,ܒܪܠܝܢ,बर्लिन,বার্লিন,பெர்லின்,เบอร์ลิน,ბერლინი,ベルリン,柏林,베를린;P;PPLC;DE;Germany;;16;00;11000;11000000;3426354;74;43;Europe/Berlin;2022-03-09;Germany;52.52437,13.41053
5000598;Manchester;Manchester;Manchester,Манчестер;P;PPL;US;United States;;MI;161;50680;;2143;274;274;America/Detroit;2017-05-23;United States;42.15032,-84.03772
2769900;Obernberg am Inn;Obernberg am Inn;Obernberg,Obernberg am Inn;P;PPL;AT;Austria;AT;04;412;41219;;1633;;356;Europe/Vienna;2018-07-28;Austria;48.32133,13.33427
2770711;Neunkirchen;Neunkirchen;Neunkirchen;P;PPLA3;AT;Austria;;03;318;31818;;11461;;372;Europe/Vienna;2019-08-28;Austria;47.72096,16.08107
2770740;Neukirchen am Großvenediger;Neukirchen am Grossvenediger;Neukirchen,Neukirchen am Grossvenediger,Neukirchen am Großvenediger,Nojkirkhen-am-Grosfenediger,Нойкирхен-ам-Гросфенедигер;P;PPLA3;AT;Austria;AT;05;506;50614;;1400;;851;Europe/Vienna;2019-01-08;Austria;47.25046,12.27585
2770897;Neckenmarkt;Neckenmarkt;Lekindrof,Neckenmarkt,Nekenmarkt,Nekkenmarkt,Sopronnyek,Sopronnyék,nei ken ma ke te,Некенмаркт,Неккенмаркт,内肯马克特;P;PPLA3;AT;Austria;;01;108;10813;;1528;;229;Europe/Vienna;2018-07-28;Austria;47.59964,16.5467
2771139;Muggendorf;Muggendorf;;P;PPLA3;AT;Austria;;03;323;32322;;365;;450;Europe/Vienna;2018-07-28;Austria;47.91059,15.93533
2771567;Mischendorf;Mischendorf;Mishendorf,Pinkamiske,mi shen duo fu,Мишендорф,Мішендорф,米申多夫;P;PPLA3;AT;Austria;;01;109;10914;;551;;271;Europe/Vienna;2018-07-28;Austria;47.19277,16.31444
2771631;Michaelerberg;Michaelerberg;;P;PPLA3;AT;Austria;;06;612;61260;;434;;1119;Europe/Vienna;2018-07-28;Austria;47.41083,13.89333
